id,tanggal,kategori,nominal,tipe,catatan
T1764645166351,2025-12-02 10:12:46,sangu,20000.0,pemasukan,buat sehari hari
T1764645168851,2025-12-02 10:12:48,sangu,20000.0,pemasukan,buat sehari hari
